PharmaName,GEOID,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,TotalWomen
CVS - 4622,74176943107,212.0,101.0,0.0,62.0,104.0,467.0,329.0,414.0,253.0,293.0,2235.0
CVS - 4846,37129010501,154.0,199.0,104.0,248.0,133.0,181.0,84.0,266.0,158.0,159.0,1686.0
CVS - 5042,223098314539,655.0,120.0,41.0,116.0,653.0,502.0,1104.0,919.0,1023.0,1024.0,6157.0
CVS - 5264,37119005826,48.0,1.0,20.0,21.0,55.0,43.0,152.0,110.0,121.0,76.0,647.0
CVS - 5313,37183053614,56.0,0.0,0.0,43.0,55.0,103.0,85.0,35.0,128.0,165.0,670.0
CVS - 5341,74358041715,244.0,150.0,25.0,87.0,265.0,244.0,331.0,468.0,710.0,382.0,2906.0
CVS - 5377,148574199828,385.0,180.0,60.0,90.0,289.0,782.0,924.0,1016.0,890.0,746.0,5362.0
CVS - 5379,37067004005,50.0,70.0,0.0,0.0,21.0,43.0,156.0,147.0,166.0,185.0,838.0
CVS - 5384,74209031002,18.0,0.0,0.0,16.0,57.0,180.0,142.0,194.0,29.0,135.0,771.0
CVS - 5420,37191000103,5.0,36.0,33.0,14.0,51.0,23.0,34.0,149.0,2.0,149.0,496.0
CVS - 5445,74238011543,96.0,172.0,69.0,70.0,183.0,570.0,375.0,380.0,154.0,365.0,2434.0
CVS - 5463,111263053235,273.0,84.0,0.0,55.0,67.0,171.0,217.0,495.0,324.0,253.0,1939.0
CVS - 5504,111265975105,69.0,96.0,25.0,47.0,190.0,443.0,348.0,285.0,350.0,196.0,2049.0
CVS - 5532,37197050101,3.0,15.0,59.0,0.0,159.0,126.0,173.0,183.0,65.0,250.0,1033.0
CVS - 5537,37089931300,72.0,0.0,0.0,61.0,86.0,81.0,105.0,194.0,120.0,166.0,885.0
CVS - 5540,37057060301,91.0,10.0,13.0,0.0,88.0,99.0,201.0,81.0,110.0,147.0,840.0
CVS - 5557,37129011705,124.0,107.0,18.0,69.0,94.0,348.0,347.0,327.0,259.0,343.0,2036.0
CVS - 5558,74133880402,72.0,14.0,40.0,15.0,42.0,106.0,82.0,103.0,214.0,184.0,872.0
CVS - 5559,37131920302,61.0,16.0,0.0,0.0,16.0,41.0,35.0,16.0,57.0,21.0,263.0
CVS - 5565,111278945308,138.0,108.0,197.0,80.0,222.0,463.0,441.0,354.0,359.0,423.0,2785.0
CVS - 5567,259809069527,521.0,195.0,193.0,103.0,437.0,821.0,1059.0,1132.0,1033.0,1107.0,6601.0
CVS - 5568,74071930402,76.0,24.0,0.0,25.0,95.0,114.0,139.0,197.0,181.0,173.0,1024.0
CVS - 5577,37017950200,5.0,17.0,42.0,0.0,22.0,80.0,19.0,108.0,47.0,108.0,448.0
CVS - 5583,111309034505,151.0,32.0,82.0,81.0,183.0,841.0,557.0,372.0,315.0,272.0,2886.0
CVS - 5585,185521185510,280.0,144.0,132.0,62.0,279.0,682.0,548.0,611.0,526.0,442.0,3706.0
CVS - 5587,37163970202,107.0,34.0,95.0,0.0,50.0,19.0,48.0,111.0,211.0,184.0,859.0
CVS - 5588,111229134413,124.0,71.0,31.0,0.0,127.0,287.0,203.0,415.0,164.0,476.0,1898.0
CVS - 5592,37115010200,44.0,45.0,0.0,31.0,73.0,52.0,38.0,121.0,96.0,71.0,571.0
CVS - 5593,74162033511,26.0,61.0,9.0,62.0,74.0,149.0,8.0,77.0,46.0,193.0,705.0
CVS - 5594,185462953613,406.0,6.0,165.0,417.0,580.0,1272.0,662.0,464.0,629.0,314.0,4915.0
CVS - 5595,111201009715,158.0,114.0,0.0,46.0,69.0,272.0,309.0,224.0,297.0,268.0,1757.0
CVS - 5886,111285061811,258.0,116.0,29.0,401.0,497.0,286.0,404.0,560.0,439.0,352.0,3342.0
CVS - 6033,37001021300,101.0,78.0,25.0,182.0,65.0,145.0,156.0,179.0,164.0,326.0,1421.0
CVS - 6402,185313135028,214.0,578.0,203.0,151.0,322.0,656.0,554.0,745.0,440.0,494.0,4357.0
CVS - 6406,37071031006,0.0,5.0,0.0,8.0,5.0,26.0,87.0,86.0,16.0,0.0,233.0
CVS - 6518,74286936734,146.0,26.0,45.0,57.0,167.0,699.0,401.0,500.0,117.0,179.0,2337.0
CVS - 681,37183053721,87.0,27.0,0.0,28.0,14.0,61.0,67.0,147.0,146.0,114.0,691.0
CVS - 6988,37135011902,209.0,68.0,57.0,68.0,105.0,223.0,165.0,158.0,74.0,99.0,1226.0
CVS - 7008,74251892603,117.0,7.0,229.0,0.0,65.0,39.0,175.0,131.0,219.0,166.0,1148.0
CVS - 7013,37111970300,121.0,12.0,50.0,4.0,27.0,121.0,58.0,80.0,151.0,179.0,803.0
CVS - 7018,37183051101,0.0,1577.0,253.0,139.0,124.0,99.0,20.0,110.0,15.0,13.0,2350.0
CVS - 7024,185462964711,240.0,284.0,76.0,147.0,455.0,304.0,718.0,230.0,275.0,417.0,3146.0
CVS - 7026,37081016408,11.0,9.0,0.0,0.0,0.0,71.0,37.0,42.0,54.0,64.0,288.0
CVS - 7029,74134006110,167.0,51.0,111.0,90.0,76.0,219.0,185.0,297.0,346.0,258.0,1800.0
CVS - 7030,74260963202,119.0,107.0,8.0,1.0,178.0,256.0,257.0,291.0,280.0,258.0,1755.0
CVS - 7042,222724170653,374.0,150.0,208.0,68.0,780.0,1235.0,1094.0,829.0,698.0,641.0,6077.0
CVS - 7043,74182961308,216.0,100.0,73.0,22.0,119.0,285.0,283.0,354.0,312.0,206.0,1970.0
CVS - 7046,37141920106,25.0,0.0,31.0,0.0,2.0,11.0,7.0,38.0,39.0,40.0,193.0
CVS - 7047,37063000401,14.0,0.0,0.0,0.0,11.0,25.0,124.0,92.0,117.0,33.0,416.0
CVS - 7049,74210112003,130.0,0.0,119.0,32.0,128.0,320.0,285.0,175.0,162.0,318.0,1669.0
CVS - 7053,37001021000,87.0,47.0,40.0,6.0,259.0,231.0,187.0,73.0,85.0,162.0,1177.0
CVS - 7054,74144047112,176.0,168.0,210.0,283.0,324.0,435.0,264.0,349.0,138.0,357.0,2704.0
CVS - 7055,37181960400,30.0,132.0,0.0,78.0,48.0,77.0,127.0,83.0,156.0,145.0,876.0
CVS - 7056,74238010922,112.0,43.0,12.0,0.0,69.0,144.0,336.0,142.0,201.0,126.0,1185.0
CVS - 7057,74239852003,61.0,83.0,38.0,13.0,26.0,107.0,219.0,141.0,65.0,274.0,1027.0
CVS - 7062,37001020702,0.0,148.0,95.0,10.0,60.0,183.0,209.0,196.0,183.0,170.0,1254.0
CVS - 7089,148382043810,159.0,486.0,220.0,189.0,190.0,905.0,580.0,343.0,506.0,286.0,3864.0
CVS - 7090,111477046487,572.0,172.0,92.0,58.0,344.0,389.0,467.0,649.0,794.0,754.0,4291.0
CVS - 7157,37119005862,73.0,16.0,91.0,0.0,11.0,63.0,13.0,84.0,161.0,107.0,619.0
CVS - 7163,74102006205,365.0,72.0,71.0,79.0,172.0,248.0,523.0,475.0,442.0,369.0,2816.0
CVS - 7213,74298026055,240.0,110.0,55.0,23.0,171.0,153.0,135.0,221.0,219.0,330.0,1657.0
CVS - 7315,37171930802,67.0,10.0,20.0,17.0,35.0,185.0,42.0,64.0,60.0,85.0,585.0
CVS - 7317,74391011101,198.0,48.0,16.0,141.0,97.0,317.0,225.0,185.0,242.0,376.0,1845.0
CVS - 7321,111245113211,409.0,62.0,70.0,37.0,57.0,207.0,125.0,255.0,182.0,234.0,1638.0
CVS - 7323,111105034201,343.0,252.0,128.0,60.0,191.0,360.0,381.0,558.0,628.0,774.0,3675.0
CVS - 7324,37053110301,197.0,17.0,0.0,30.0,31.0,123.0,184.0,111.0,94.0,111.0,898.0
CVS - 7328,148496184210,307.0,223.0,90.0,57.0,226.0,548.0,542.0,397.0,418.0,822.0,3630.0
CVS - 7330,74196071704,105.0,48.0,0.0,29.0,51.0,383.0,193.0,200.0,431.0,257.0,1697.0
CVS - 7332,111383994607,121.0,58.0,157.0,39.0,181.0,521.0,284.0,247.0,286.0,267.0,2161.0
CVS - 7335,37195000701,18.0,0.0,0.0,0.0,1.0,138.0,115.0,63.0,43.0,48.0,426.0
CVS - 7339,259900934712,502.0,144.0,130.0,110.0,178.0,869.0,381.0,697.0,528.0,984.0,4523.0
CVS - 7344,37049961303,129.0,29.0,7.0,8.0,201.0,129.0,165.0,162.0,139.0,87.0,1056.0
CVS - 7345,74176943503,183.0,13.0,0.0,0.0,150.0,96.0,83.0,174.0,257.0,110.0,1066.0
CVS - 7349,37119006211,117.0,224.0,15.0,15.0,37.0,133.0,153.0,271.0,264.0,206.0,1435.0
CVS - 7350,74283910302,214.0,71.0,0.0,0.0,180.0,148.0,204.0,413.0,218.0,396.0,1844.0
CVS - 7361,37055970301,83.0,61.0,77.0,0.0,20.0,101.0,83.0,33.0,337.0,134.0,929.0
CVS - 7382,111057061026,40.0,10.0,24.0,7.0,24.0,49.0,169.0,151.0,81.0,103.0,658.0
CVS - 7394,74148018505,186.0,107.0,42.0,37.0,308.0,1181.0,613.0,202.0,609.0,202.0,3487.0
CVS - 7420,37019020518,11.0,9.0,4.0,0.0,73.0,18.0,59.0,25.0,0.0,110.0,309.0
CVS - 7492,37119002908,0.0,0.0,22.0,0.0,43.0,41.0,52.0,76.0,147.0,62.0,443.0
CVS - 7517,222935766704,275.0,222.0,130.0,114.0,232.0,632.0,498.0,561.0,423.0,322.0,3409.0
CVS - 7523,74162025221,112.0,10.0,89.0,63.0,145.0,266.0,344.0,360.0,284.0,213.0,1886.0
CVS - 7524,74291891603,50.0,32.0,16.0,21.0,90.0,19.0,64.0,162.0,57.0,101.0,612.0
CVS - 7535,111057102702,256.0,118.0,0.0,89.0,260.0,479.0,441.0,591.0,540.0,575.0,3349.0
CVS - 7536,74238004616,250.0,286.0,131.0,225.0,434.0,303.0,308.0,262.0,353.0,346.0,2898.0
CVS - 7539,37057061807,61.0,15.0,38.0,0.0,125.0,0.0,42.0,55.0,133.0,143.0,612.0
CVS - 7547,37167931203,5.0,49.0,0.0,0.0,106.0,154.0,59.0,281.0,17.0,29.0,700.0
CVS - 7550,37133000401,62.0,31.0,11.0,0.0,126.0,313.0,403.0,336.0,218.0,401.0,1901.0
CVS - 7559,37135010903,93.0,0.0,0.0,0.0,53.0,51.0,138.0,29.0,29.0,133.0,526.0
CVS - 7560,74286937112,106.0,108.0,36.0,49.0,35.0,75.0,902.0,370.0,325.0,312.0,2318.0
CVS - 7566,148504205410,495.0,121.0,118.0,113.0,92.0,233.0,273.0,586.0,637.0,806.0,3474.0
CVS - 7571,37149920202,52.0,11.0,0.0,0.0,51.0,88.0,0.0,12.0,81.0,87.0,382.0
CVS - 7572,37057061600,26.0,36.0,0.0,0.0,89.0,39.0,124.0,166.0,169.0,120.0,769.0
CVS - 7573,37007920100,37.0,20.0,43.0,21.0,39.0,74.0,63.0,105.0,57.0,39.0,498.0
CVS - 7578,185516944613,83.0,85.0,31.0,57.0,971.0,538.0,332.0,253.0,438.0,424.0,3212.0
CVS - 7580,37147001304,73.0,23.0,0.0,38.0,25.0,95.0,110.0,106.0,214.0,173.0,857.0
CVS - 7587,37147000303,89.0,37.0,57.0,37.0,445.0,178.0,84.0,65.0,19.0,40.0,1051.0
CVS - 7588,37023021302,6.0,0.0,32.0,0.0,47.0,107.0,83.0,101.0,100.0,111.0,587.0
CVS - 7597,37085071102,142.0,69.0,0.0,0.0,45.0,24.0,129.0,274.0,143.0,254.0,1080.0
CVS - 7681,74148016625,97.0,52.0,0.0,22.0,43.0,466.0,364.0,147.0,270.0,268.0,1729.0
CVS - 7688,37119000600,6.0,0.0,20.0,5.0,108.0,472.0,124.0,53.0,97.0,55.0,940.0
CVS - 7941,74238007849,94.0,67.0,25.0,82.0,215.0,132.0,149.0,86.0,109.0,153.0,1112.0
CVS - 7943,37179021012,291.0,67.0,43.0,29.0,48.0,33.0,80.0,121.0,381.0,261.0,1354.0
CVS - 8260,111309041842,315.0,57.0,34.0,99.0,163.0,670.0,681.0,256.0,219.0,502.0,2996.0
CVS - 8911,37195001700,75.0,15.0,0.0,0.0,32.0,118.0,59.0,97.0,140.0,175.0,711.0
CVS - 8959,37127010802,131.0,11.0,3.0,0.0,64.0,119.0,138.0,162.0,125.0,184.0,937.0
D-REX DRUGS OF JONESVILLE,37067002807,87.0,0.0,0.0,41.0,61.0,159.0,316.0,172.0,105.0,174.0,1115.0
DAVIS DRUG COMPANY,37101040304,48.0,20.0,0.0,0.0,43.0,132.0,111.0,26.0,47.0,123.0,550.0
DEE'S DRUG STORE INCORPORATED,74274920808,34.0,128.0,0.0,7.0,156.0,512.0,532.0,377.0,183.0,148.0,2077.0
DEEP RIVER DRUG,148324058236,571.0,257.0,65.0,10.0,165.0,461.0,493.0,677.0,484.0,1084.0,4267.0
DENTON DRUG STORE,74194062402,178.0,76.0,56.0,13.0,50.0,177.0,235.0,177.0,269.0,209.0,1440.0
DICKERSONS PHARMACY INCORPORATED,148310821208,166.0,151.0,224.0,63.0,28.0,223.0,123.0,182.0,259.0,202.0,1621.0
DILWORTH DRUG,74238007103,32.0,22.0,7.0,0.0,330.0,319.0,398.0,285.0,129.0,116.0,1638.0
DOCTORS PARK PHARMACY,37061090703,27.0,0.0,11.0,0.0,25.0,63.0,4.0,0.0,36.0,29.0,195.0
DOROTHEA DIX HOSPITAL PHARMACY,37183053423,3.0,11.0,10.0,0.0,12.0,71.0,68.0,103.0,96.0,74.0,448.0
DOWN EAST RESPIRATORY SERVICES INCORPORATED,37147000602,0.0,58.0,0.0,46.0,36.0,388.0,98.0,254.0,238.0,83.0,1201.0
DOWNTOWN HEALTH PLAZA PHARMACY,74134002701,96.0,23.0,9.0,0.0,92.0,61.0,87.0,98.0,164.0,130.0,760.0
DRUGCO DISCOUNT PHARMACY,74263840803,47.0,31.0,0.0,41.0,117.0,119.0,120.0,42.0,129.0,153.0,799.0
DRUGS AMERICA,37155960900,35.0,18.0,0.0,22.0,10.0,64.0,92.0,51.0,89.0,64.0,445.0
DRUMS PHARMACY,37063002100,25.0,0.0,9.0,0.0,8.0,138.0,165.0,96.0,248.0,149.0,838.0
DUKE CHILDRENS HOSPITAL AND HEALTH CENTER,74126003007,32.0,616.0,194.0,169.0,230.0,297.0,69.0,180.0,195.0,0.0,1982.0
DUKE HOMECARE AND HOSPICE - DUKE HOME INFUSION,37063001709,108.0,105.0,0.0,0.0,89.0,260.0,348.0,325.0,130.0,344.0,1709.0
DURHAM TREATMENT CENTER,37063000101,31.0,81.0,0.0,0.0,32.0,154.0,296.0,187.0,221.0,50.0,1052.0
DURHAM VETERANS AFFAIRS MEDICAL CENTER PHARMACY,148252002409,142.0,139.0,119.0,111.0,526.0,1229.0,958.0,566.0,206.0,399.0,4395.0
EAST BURKE PHARMACY,37023020301,80.0,60.0,25.0,26.0,20.0,171.0,150.0,335.0,127.0,170.0,1164.0
EAST CAROLINA UNIVERSITY BRODY SCHOOL OF MEDICINE - BERNSTEIN CENTER PHARMACY,37147000800,145.0,36.0,0.0,0.0,95.0,57.0,60.0,68.0,152.0,64.0,677.0
EAST CAROLINA UNIVERSTIY BRODY SCHOOL OF MEDICINE - BRODY OUTPATIENT PHARMACY,37147000701,76.0,56.0,23.0,19.0,123.0,210.0,57.0,215.0,14.0,87.0,880.0
EASTGATE PHARMACY,37075920100,91.0,7.0,0.0,0.0,0.0,22.0,48.0,178.0,39.0,60.0,445.0
EASTOVER DRUG,185255012321,365.0,188.0,218.0,98.0,444.0,1181.0,774.0,610.0,663.0,687.0,5228.0
ECONOMY DRUGS,37089931200,80.0,7.0,32.0,0.0,24.0,52.0,85.0,74.0,134.0,80.0,568.0
EDGEWAY PHARMACY,74190037920,81.0,122.0,64.0,20.0,373.0,357.0,360.0,197.0,284.0,305.0,2163.0
EDGEWOOD PHARMACY,37135011001,111.0,0.0,0.0,0.0,47.0,132.0,57.0,224.0,138.0,136.0,845.0
ELK PHARMACY,111450883310,230.0,292.0,404.0,407.0,657.0,418.0,360.0,472.0,353.0,433.0,4026.0
ELLERBE PHARMACY,37007920301,108.0,71.0,37.0,41.0,40.0,138.0,50.0,102.0,86.0,111.0,784.0
ELLIOTTS PHARMACY,74202082221,264.0,427.0,36.0,216.0,177.0,114.0,115.0,306.0,420.0,450.0,2525.0
ELM CITY PHARMACY INCORPORATED,37195001401,31.0,17.0,0.0,0.0,28.0,105.0,81.0,0.0,128.0,222.0,612.0
ELVINGTON PHARMACY,37047930900,46.0,91.0,0.0,34.0,72.0,136.0,89.0,235.0,123.0,148.0,974.0
ETOWAH PHARMACY,37089930302,88.0,25.0,0.0,26.0,13.0,308.0,35.0,125.0,190.0,187.0,997.0
EVERGREEN PACKAGING FAMILY PHARMACY,37087920702,101.0,11.0,12.0,0.0,12.0,37.0,13.0,7.0,62.0,42.0,297.0
EXPRESS CARE PHARMACY,74160931303,196.0,122.0,50.0,20.0,149.0,285.0,308.0,305.0,210.0,287.0,1932.0
EXTENSIVE PHARMACEUTICAL SERVICES,74162980902,45.0,69.0,6.0,0.0,46.0,134.0,232.0,77.0,95.0,148.0,852.0
FAIRBROOK MEDICAL CLINIC AND PHARMACY,111093043703,143.0,27.0,13.0,76.0,287.0,257.0,283.0,206.0,294.0,354.0,1940.0
FAISON PHARMACY,74102982601,146.0,72.0,12.0,40.0,193.0,309.0,266.0,288.0,226.0,273.0,1825.0
FALLSTON PHARMACY,37109070400,129.0,40.0,0.0,48.0,132.0,100.0,171.0,154.0,70.0,139.0,983.0
FAMILY CARE PHARMACY,74197030505,161.0,81.0,0.0,0.0,0.0,105.0,74.0,256.0,38.0,162.0,877.0
FAMILY CARE PHARMACY OF SWANSBORO,37031971003,8.0,2.0,7.0,0.0,4.0,12.0,26.0,23.0,27.0,31.0,140.0
FAMILY CARE RX,37071033501,107.0,0.0,27.0,7.0,29.0,159.0,75.0,66.0,89.0,23.0,582.0
FAMILY CARE SPECIALTYPHARMACY,111309042539,342.0,111.0,72.0,214.0,288.0,328.0,378.0,748.0,791.0,294.0,3566.0
FAMILY MED PHARMACY,37119005508,79.0,11.0,0.0,8.0,229.0,53.0,170.0,211.0,130.0,107.0,998.0
FAMILY MEDICAL SUPPLY,74316950905,31.0,80.0,72.0,42.0,128.0,190.0,259.0,154.0,301.0,158.0,1415.0
FAMILY PHARMACY,296975018218,826.0,163.0,126.0,162.0,465.0,979.0,630.0,548.0,749.0,770.0,5418.0
FAMILYMED PHARMACY,111291124804,318.0,221.0,16.0,34.0,387.0,493.0,546.0,713.0,448.0,478.0,3654.0
FARM FRESH - 6273,37139960300,82.0,0.0,0.0,7.0,52.0,143.0,70.0,94.0,41.0,75.0,564.0
FAYETTEVILLE FAMILY MEDICAL CARE,111195972201,197.0,85.0,125.0,30.0,99.0,349.0,248.0,239.0,193.0,284.0,1849.0
FAYETTEVILLE TREATMENT CENTER,111153008611,200.0,98.0,174.0,226.0,659.0,882.0,527.0,564.0,395.0,320.0,4045.0
FAYETTEVILLE VETERANS AFFAIRS MEDICAL CENTER,74102004415,47.0,300.0,70.0,156.0,212.0,586.0,267.0,144.0,128.0,195.0,2105.0
FLETCHER COMMUNITY PHARMACY,74251891003,136.0,51.0,44.0,25.0,185.0,94.0,410.0,255.0,121.0,259.0,1580.0
FOOD LION,74169910803,137.0,170.0,36.0,71.0,68.0,256.0,117.0,448.0,408.0,455.0,2166.0
FOOD LION - 10,37159050300,26.0,0.0,0.0,74.0,86.0,302.0,111.0,51.0,31.0,41.0,722.0
FOOD LION - 1654,111549161450,344.0,139.0,38.0,59.0,207.0,664.0,501.0,384.0,329.0,575.0,3240.0
FOOD LION - 1685,223028254632,1381.0,365.0,182.0,284.0,200.0,818.0,1265.0,2228.0,2146.0,1583.0,10452.0
FOOD LION - 2580,37191000601,40.0,39.0,32.0,17.0,16.0,144.0,216.0,111.0,47.0,48.0,710.0
FOOD LION - 2581,185625154317,377.0,92.0,77.0,72.0,330.0,482.0,567.0,470.0,659.0,250.0,3376.0
FOOD LION - 2676,74134003001,274.0,26.0,35.0,0.0,134.0,213.0,289.0,340.0,151.0,168.0,1630.0
FOOD LION - 420,74132062212,214.0,18.0,48.0,94.0,361.0,399.0,440.0,397.0,584.0,398.0,2953.0
FOOTHILLS PHARMACY,37027030100,116.0,45.0,29.0,89.0,30.0,118.0,246.0,174.0,33.0,318.0,1198.0
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - CLARK HEALTH CLINIC-DOD,74214972803,142.0,59.0,75.0,26.0,122.0,146.0,175.0,196.0,196.0,201.0,1338.0
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - JOEL CLINIC-DOD,74102005911,131.0,231.0,94.0,83.0,348.0,626.0,348.0,349.0,153.0,141.0,2504.0
FOSTER DRUG,185421244205,566.0,91.0,129.0,79.0,500.0,621.0,535.0,746.0,627.0,836.0,4730.0
FRED'S - 3784,37111970904,58.0,28.0,76.0,22.0,55.0,19.0,136.0,99.0,103.0,87.0,683.0
FREEDOM HILL COMMUNITY HEALTH CENTER PHARMACY,111317992401,157.0,111.0,46.0,36.0,95.0,234.0,234.0,207.0,208.0,493.0,1821.0
FREMONT PHARMACY,259879257842,485.0,292.0,78.0,106.0,321.0,483.0,891.0,1014.0,879.0,844.0,5393.0
FRYE HOME INFUSION,74132071505,242.0,146.0,0.0,14.0,61.0,228.0,285.0,213.0,296.0,247.0,1732.0
FUTRELL PHARMACY,37145920100,101.0,99.0,27.0,11.0,82.0,300.0,71.0,265.0,156.0,255.0,1367.0
FUTRELL PHARMACY SERVICES,74167861701,90.0,81.0,0.0,0.0,59.0,39.0,66.0,95.0,80.0,24.0,534.0
GALLOWAY-SANDS PHARMACY,74038040807,270.0,93.0,2.0,24.0,28.0,196.0,423.0,297.0,304.0,356.0,1993.0
GAMEWELL FAMILY PHARMACY,111208060802,176.0,179.0,32.0,73.0,164.0,420.0,226.0,243.0,250.0,362.0,2125.0
GASTON MEMORIAL HOSPITAL,74164956007,185.0,260.0,61.0,45.0,56.0,247.0,246.0,235.0,156.0,344.0,1835.0
GIANT GENIE HEALTH MART PHARMACY,259785057706,392.0,432.0,172.0,108.0,446.0,1055.0,1214.0,1250.0,958.0,849.0,6876.0
GIBSONVILLE PHARMACY,111003062709,312.0,164.0,20.0,43.0,179.0,374.0,496.0,322.0,574.0,273.0,2757.0
GLENN AND MARTIN DRUG COMPANY,111339881109,134.0,72.0,25.0,0.0,119.0,243.0,144.0,205.0,111.0,344.0,1397.0
GLOBAL RX,37001021204,115.0,0.0,46.0,8.0,44.0,141.0,171.0,100.0,242.0,170.0,1037.0
GRANITE DRUG CENTER,37027031301,141.0,47.0,59.0,0.0,26.0,88.0,133.0,81.0,140.0,190.0,905.0
GREENSBORO TREATMENT CENTER,37081012619,111.0,53.0,105.0,16.0,116.0,126.0,96.0,117.0,61.0,272.0,1073.0
GREER PHARMACY,185663911900,568.0,353.0,105.0,248.0,312.0,566.0,410.0,601.0,601.0,537.0,4301.0
GUITONS DRUG STORE,111305953707,378.0,154.0,90.0,298.0,103.0,518.0,302.0,356.0,157.0,382.0,2738.0
GURLEY'S HEALTH MART PHARMACY,37063001002,116.0,9.0,20.0,47.0,43.0,388.0,208.0,225.0,111.0,206.0,1373.0
GUY'S FAMILY PHARMACY INCORPORATED,111265152805,131.0,11.0,253.0,118.0,78.0,513.0,250.0,399.0,529.0,585.0,2867.0
HALSEY DRUG COMPANY,37171930502,95.0,61.0,14.0,41.0,51.0,85.0,30.0,84.0,88.0,61.0,610.0
HAMPSTEAD FAMILY PHARMACY,148379702003,335.0,112.0,102.0,197.0,195.0,196.0,617.0,567.0,664.0,665.0,3650.0
HARDIN'S DRUG - 2,111253863204,251.0,0.0,46.0,50.0,138.0,357.0,331.0,234.0,204.0,264.0,1875.0
HARMONY DRUG,37199960102,0.0,6.0,13.0,31.0,24.0,72.0,91.0,40.0,25.0,94.0,396.0
HARRIS PHARMACY INCORPORATED,37083931102,50.0,54.0,9.0,8.0,34.0,53.0,29.0,240.0,17.0,68.0,562.0
HARRIS TEETER - 104,37183053620,163.0,182.0,38.0,0.0,352.0,257.0,202.0,286.0,411.0,277.0,2168.0
HARRIS TEETER - 112,111403128630,343.0,183.0,43.0,35.0,130.0,540.0,452.0,586.0,392.0,463.0,3167.0
HARRIS TEETER - 118,37183053203,257.0,39.0,75.0,20.0,188.0,129.0,531.0,284.0,502.0,604.0,2629.0
HARRIS TEETER - 127,37067000500,85.0,11.0,34.0,0.0,46.0,143.0,114.0,48.0,23.0,132.0,636.0
HARRIS TEETER - 129,74358041334,302.0,101.0,0.0,80.0,112.0,104.0,224.0,339.0,303.0,707.0,2272.0
HARRIS TEETER - 137,37183053617,343.0,159.0,33.0,0.0,84.0,213.0,561.0,564.0,682.0,389.0,3028.0
HARRIS TEETER - 138,74366101500,32.0,108.0,108.0,148.0,642.0,1050.0,362.0,217.0,178.0,160.0,3005.0
HARRIS TEETER - 157,148476020724,210.0,78.0,0.0,0.0,202.0,352.0,321.0,391.0,659.0,200.0,2413.0
HARRIS TEETER - 166,37071030503,15.0,7.0,0.0,0.0,7.0,52.0,48.0,10.0,66.0,56.0,261.0
HARRIS TEETER - 167,37025041504,107.0,145.0,0.0,22.0,83.0,84.0,111.0,135.0,151.0,163.0,1001.0
HARRIS TEETER - 172,148252007880,356.0,234.0,121.0,79.0,458.0,1043.0,1256.0,763.0,649.0,737.0,5696.0
HARRIS TEETER - 173,111243042615,209.0,215.0,39.0,13.0,250.0,457.0,575.0,587.0,379.0,386.0,3110.0
HARRIS TEETER - 179,74144047108,278.0,158.0,52.0,0.0,59.0,141.0,155.0,540.0,356.0,427.0,2166.0
HARRIS TEETER - 182,74358041104,149.0,220.0,0.0,90.0,103.0,312.0,186.0,362.0,217.0,146.0,1785.0
HARRIS TEETER - 190,111189997716,77.0,53.0,33.0,14.0,66.0,130.0,275.0,186.0,277.0,97.0,1208.0
HARRIS TEETER - 191,37129011609,114.0,25.0,13.0,0.0,254.0,42.0,108.0,203.0,350.0,244.0,1353.0
HARRIS TEETER - 200,37183050600,108.0,334.0,121.0,30.0,41.0,111.0,140.0,189.0,43.0,52.0,1169.0
HARRIS TEETER - 202,74134112406,206.0,212.0,54.0,29.0,358.0,183.0,453.0,655.0,802.0,940.0,3892.0
HARRIS TEETER - 208,37119003203,8.0,23.0,8.0,0.0,140.0,149.0,213.0,101.0,24.0,35.0,701.0
HARRIS TEETER - 210,37129011703,104.0,0.0,6.0,0.0,188.0,158.0,23.0,67.0,145.0,100.0,791.0
HARRIS TEETER - 220,111357017746,128.0,129.0,137.0,31.0,198.0,357.0,496.0,278.0,452.0,217.0,2423.0
HARRIS TEETER - 223,74126003915,1.0,76.0,73.0,46.0,278.0,460.0,550.0,231.0,350.0,252.0,2317.0
HARRIS TEETER - 224,37135011500,48.0,9.0,53.0,93.0,42.0,16.0,99.0,23.0,45.0,121.0,549.0
HARRIS TEETER - 244,185231072615,393.0,276.0,240.0,113.0,391.0,803.0,850.0,714.0,502.0,843.0,5125.0
HARRIS TEETER - 249,37179021007,411.0,106.0,7.0,30.0,70.0,43.0,15.0,131.0,447.0,469.0,1729.0
HARRIS TEETER - 250,111215020620,49.0,36.0,0.0,94.0,180.0,401.0,353.0,382.0,291.0,508.0,2294.0
HARRIS TEETER - 254,37063001712,75.0,28.0,0.0,37.0,17.0,47.0,89.0,260.0,172.0,104.0,829.0
HARRIS TEETER - 257,74366105820,302.0,165.0,58.0,64.0,263.0,210.0,508.0,159.0,265.0,431.0,2425.0
HARRIS TEETER - 268,37109070902,291.0,234.0,0.0,50.0,149.0,54.0,253.0,219.0,179.0,307.0,1736.0
